MID,MFname,MLname,Phone_no,Email,Department_Course_id
1,Yadu,Krishnan,9412165651,yadu.krishnan@alliance.edu.in,ME-101
2,Manjunath,Swamy,8650505642,manjunath.swamy@alliance.edu.in,ECE-101
3,Gisa,George,7894561230,gisa.george@alliance.edu.in,ECE-103
4,Taranath,Sharma,8979461235,taranath.sharma@alliance.edu.in,ECE-102
5,Srinath,Kumar,7989455612,srinath.kumar@alliance.edu.in,IT-102
6,Bhoomika,Patel,7594261538,bhoomika.patel@alliance.edu.in,IT-101
7,Pranayanath,Reddy,7619351789,pranayanath.reddy@alliance.edu.in,BIO-101
8,Beena,Mathew,7418529635,beena.mathew@alliance.edu.in,CS-102
9,Revathi,Selvarani,8974865153,revathi.selvarani@alliance.edu.in,EEE-101
10,Vijaya,Lakshmi,8456812385,vijaya.lakshmi@alliance.edu.in,CS-103
11,Tharun,Sridhar,7973812345,tharun.sridhar@alliance.edu.in,ME-102
12,Radha,Rajan,9412645867,radha.rajan@alliance.edu.in,CS-101
